sentence,year,base_verb,lemma,form,label
"Alle, die mich für einen konservativen Autor halten, werden sich bestätigt fühlen, wenn ich ausgerechnet bei den Bürgerrechten als Erstes die Axt anlege.",2009,halten,halten,halten,0
"Er dürfte dann auf immer unter uns wandern, und zwar abwechselnd mal als Dreißig-, Vierzig-, Fünfzig- oder Siebzigjähriger.",2010,wechseln,abwechseln,abwechselnd,0
"Eine scharfe Bö peitscht aus Wolken von der Irischen See heran, ein Schleier breitet sich über die Hänge, nass und grau.",2010,peitschen,auspeitschen,peitscht aus,1
Im Nordwesten des Bundeslandes möchte die Firma RWE die Abgase eines Kohlekraftwerks aus dem Ruhrgebiet unter die Erde pressen ab.,2009,pressen,abpressen,pressen ab,1
"Ihnen geht es nicht mehr darum, mühsam den richtigen Fonds auszuwählen, sondern darum, ihr Kapital über die einzelnen Anlageklassen zu bestreuen.",2010,streuen,bestreuen,bestreuen,1
"Dennoch sah der jüngere Miliband im Mai keinen Grund, noch länger hinter seinem großen Bruder David zu stehen an.",2010,stehen,anstehen,stehen an,1
"Sie lächelt in einer sanften, gewinnenden, liebenswürdigen Art.",2009,lächeln,lächelt,lächelt,0
Ich verdanken dem Universum für diese Nahrung.,2010,danken,verdanken,verdanken,1
Doch das bedeutet eben auch: Sein Umweg über NRW ist vorgezeichnet.,2010,deuten,bedeuten,bedeutet,0
"Wird denn etwas unternommen, damit sie sich nicht so stark vermehren?",2009,mehren,vermehren,vermehren,0
Um Porsche soll es finanziell schlechter stehen als bisher bekannt.,2009,kennen,bekennen,bekannt,0
"Man läuft weich, auf sattem grünem Klee.",2009,laufen,auflaufen,läuft auf,0
"Von fern erinnern sie an die Krieger aus Shakespeares Macbeth, die sich als Bäume enttarnen und so, als wandelnder Wald, das Schloss des Mörders stürmen.",2009,tarnen,enttarnen,enttarnen,1
"Die ganz mutigen Kadimisten wetten sogar auf die absurdeste aller Koalitionen: Kadima (mittig) plus Arbeitspartei (halblinks) plus die ganz rechte Lieberman-Partei plus die ganz linke, friedensbewegte Meretz.",2009,wetten,wetten,wetten,0
"ZEIT: Was entraten Sie einem begeisterten Headbanger, der das Risiko minimieren will?",2009,raten,entraten,entraten,1
"Budapests postkommunistische Elite wickelte ein die Integration in die EU ab, kümmerte sich um die alten Netzwerke und die neuen Geschäfte, nicht aber um die eigene Gestaltung des Landes.",2009,wickeln,einwickeln,wickelte ein,1
"Nach dem Sanierungsplan, dem 92 Prozent der Gläubiger zustimmten, sollen die Geldgeber nur etwa 29 Cent für jeden Dollar zurückbekommen, den Chrysler ihnen verschulden.",2009,schulden,verschulden,verschulden,1
"Verstehen kann das nur, wer Middelhoffs Wirkung auf Menschen erlebt, wer gesehen hat, wie er Zuhörer öffnen und bannen kann.",2009,bannen,bannen,bannen,0
"Seine große Begabung bestand darin, das Vertrauen der Öffentlichkeit zu behalten, während er zugleich um des Friedens willen kalkulierte ein Risiken einging.",2010,kalkulieren,einkalkulieren,kalkulierte ein,1
"Ihre Struktur ähnelt den Waben im Bienenstock, die wie in einem Maschendrahtzaun zweidimensional angeordnet sind.",2010,ordnen,anordnen,angeordnet,0
"Sogar ein neues Rettungsgesetz brachte man auf den Weg, um nicht nur in Österreich Kandidaten ködern zu können.",2010,ködern,ködern,ködern,0
"Dort nämlich ist der Originalitätsdruck so groß, dass die Friseure sich kaum noch trauen, sich wie alle zu ernennen.",2009,nennen,ernennen,ernennen,1
"Bisher hat Schwarz-Gelb die Zeichen der neuen Zeit nicht verstanden, in der man auch der Wirtschaftslobby mal widerstehen darf.",2010,stehen,verstehen,verstanden,0
"Danach lässt sie im Spa bei einer Thai-Yoga-Massage die müden Glieder dehnen und verfolgt durch halb geschlossene Lider, wie die Hafenkräne von Stockholm aus dem Aussichtsfenster verschwinden.",2009,dehnen,dehnen,dehnen,0
"Was zu klein ist, fällt durch, was zu groß ist oder nicht gemeint, sortieren aus die Fischer aus.",2010,sortieren,aussortieren,sortieren aus,1
Die Friedhofsverwaltung ebnet ein die Grabreihe alle drei Jahre ein.,2010,ebnen,einebnen,ebnet ein,1
Bis dahin ist der Weg noch weit und die ethische Diskussion könnte durch Obamas Entscheidung neu entflammen.,2009,flammen,entflammen,entflammen,0
"Die FDP übt schon, die Linke sperrt sich im falschen Triumphgefühl.",2009,üben,übt,übt,0
"Erst vor der lehmbraunen Kirche, die aussieht wie im Sandkasten geformt vor, wird er wieder gesprächig.",2009,formen,vorformen,geformt vor,1
"Schließlich musste, wer den Hellenen Geld leiht, mit Ausfällen berechnen.",2010,rechnen,berechnen,berechnen,1
"Kann man Eltern in diesen Wochen raten zu, ihre Kinder auf ein Internat zu schicken?",2010,raten,zuraten,raten zu,1
"Pellert: Der private Gesellschafter, der Klett Verlag, diktiert keine Forschungsvorhaben.",2009,diktieren,diktiert,diktiert,0
"Zudem gebe es noch keine Stromnetze, die diese Strommengen transportieren könnten.",2009,transportieren,transportieren,transportieren,0
"Entsprechend hilflos agierte Südkoreas Präsident Lee Myung Bak, zugleich Oberbefehlshaber aller Waffengattungen, nach der Attacke.",2010,sprechen,entsprechen,entsprechend,0
"Liberale und Linke hatten vor rund 25 Jahren versucht, einen Anti-Hofer zu kreieren: Michael Gaismair, einen Revolutionär aus dem 16.Jahrhundert.",2009,suchen,versuchen,versucht,0
"Zwei frustrierte Strickerinnen beschlossen, ihre halb fertigen aus Pulloverärmel und Schals heimlich um Ampelanlagen oder Straßenschilder zu wickeln, als gestricktes Graffito, als Intervention im öffentlichen Raum.",2009,fertigen,ausfertigen,fertigen aus,1
Insgesamt klagte die Staatsanwaltschaft bislang 161 Menschen – zumeist Serben – wegen des Verdachts auf Verbrechen während der Kriege im früheren Jugoslawien an.,2009,brechen,verbrechen,verbrechen,0
Die Reaktoren sollten Milliarden in die Taschen von Industriellen aus Amerika und anderen westlichen Nationen spülen.,2010,spülen,spülen,spülen,0
"Soeben ist der zwölfte Band auf Französisch erschienen; bis der 40. und letzte erreicht ist, soll es noch zwei Jahre dauern an.",2010,dauern,andauern,dauern an,1
Und dann hat sie diese Klamotten geklaut – ausgerechnet noch von Marc Jacobs.,2009,klauen,geklaut,geklaut,0
"Um einen weiteren Einbruch zu verhindern, will man den Konzernumbau forcieren und die Kosten weiter senken.",2009,hindern,verhindern,verhindern,0
"Seitlich davon krallt an sich Lake Powell, der zweitgrößte künstliche See der USA, wie ein blauer Polyp in die hohlwangige Sandsteinlandschaft.",2009,krallen,ankrallen,krallt an,1
"Im vorigen Jahrhundert nämlich verstand man unter einer Erbsensuppe eine deftige Suppe aus diesen sogenannten Hülsenfrüchten, sie waren entweder gelb oder grün, aber fast immer vertrocknen, weshalb man sie über Nacht einweichen musste.",2009,trocknen,vertrocknen,vertrocknen,1
"Von ihm kann man halt nie genug bekommen, da sind Blocky & Co.",2010,kommen,bekommen,bekommen,0
"Wahre Freundschaft, so argumentieren denn aber die Plattenfirmen, äußert sich auch in Verantwortung.",2009,wahren,wahre,wahre,0
Berichte über Opfer gab es zunächst nicht.,2009,richten,berichten,berichte,0
Früher oder später musste Pixar von Disney verschlucken werden.,2009,schlucken,verschlucken,verschlucken,1
"haben sie nicht gezittert, herr ahmadineschad, als verzweifelte menschen aufs dach gestiegen sind und allahu akbar gerufen haben?",2010,rufen,gerufen,gerufen,0
"Die Kurden wählen die kurdische DTP, wenn ihnen das Kurdische am Herzen liegt, oder AKP, wenn sie auf das Wohlstandsszenario erhoffen.",2009,hoffen,erhoffen,erhoffen,1
Insgesamt klagte an die Staatsanwaltschaft bislang 161 Menschen – zumeist Serben – wegen des Verdachts auf Verbrechen während der Kriege im früheren Jugoslawien an.,2009,klagen,anklagen,klagte an,1
"Das Besondere ist aber nicht sein biblisches Alter, sondern der Ort, an dem er in einer einfachen Glasvitrine ruht aus: in der chinesischen Provinzhauptstadt Ürümqi.",2010,ruhen,ausruhen,ruht aus,1
"Mögen die abgebrannten internationalen Investoren ihre Wunden verpflegen, Abu Dhabi springt dem Nachbaremirat bei.",2009,pflegen,verpflegen,verpflegen,1
"Daher stehen am linken Rand Themen und Schlagworte, die etwas mit dem gesuchten Anliegen zu tun haben könnten.",2009,liegen,anliegen,anliegen,0
"Gereizt habe die Stars der Jetset-Architektur, meint Hagenberg, dass sie mit ihren Entwürfen für Raiding zu ursprünglichen Bauaufgaben und zu ihren Wurzeln zurückkehren.",2010,reizen,anreizen,gereizt an,1
"Wer durch sie geprägt ist, bemerkt in Singapur vor allem eine Regierung, die nie wechselt, drakonische Strafen bereits für Nichtigkeiten, eine niedrige Korruptionsrate, auffällige Sauberkeit und  hat dieses unbestimmte Gefühl einer alles überlagernden Effizienz.",2010,merken,bemerken,bemerkt,0
Wie viel Wahrheit verträgt Amerika?,2009,tragen,vertragen,verträgt,0
"Stellen Sie sich vor, Sie sitzen in einem Zug.",2010,stellen,vorstellen,stellen vor,0
"Henriksen mitspielen: ganz leise, mit einem Klang, der dahinschmilzt wie Butter.",2010,spielen,mitspielen,mitspielen,1
"Doch die Tür ging nicht auf, er riss und rüttelte und stieß sie auf.",2009,rütteln,rüttelte,rüttelte,0
Eine solche Regelung soll in die Satzung des neuen Unternehmens nachschreiben werden – mit unbegrenzter Laufzeit.,2009,schreiben,nachschreiben,nachschreiben,1
"Frank streift allmorgendlich den grauen Flanellanzug über und verwandelt sich in einen Zigarrette rauchenden Angestellten der Firma Knox, wie einst sein Vater einer war; April macht den Abwasch und backt an Kuchen.",2009,backen,anbacken,backt an,1
"Wer will, kann an die Natursteinmauer treten und seinen Blick über die Felder schweifen ab lassen.",2009,schweifen,abschweifen,schweifen ab,1
"Vielleicht tut sich die 65-Jährige gelegentlich mit dem richtigen Ton ein bisschen schwer, vielleicht nacheifern sie unterschwellig ihrem Vater Wolfgang nach, der jahrzehntelang und bis zu seinem Tod im März der Herr im Haus war.",2010,eifern,nacheifern,nacheifern,1
"Seit drei Wochen wegfliegen israelische Kampfjets Angriffe gegen Hamas-Ziele, Israels Armee ist tief in den Gaza-Streifen eingedrungen, Kämpfer der radikal-islamischen Palästinenser-Organisation schießen mit Mörsergranaten und Raketen zurück.",2009,fliegen,wegfliegen,wegfliegen,1
"Ist das der Preis, den Sie für spitze Formulierungen bezahlen müssen?",2010,spitzen,spitze,spitze,0
An eine Veränderung sei in der großen Koalition nicht mehr gedacht.,2009,denken,gedenken,gedacht,0
"Als jüngst die Insolvenzmeldung kam, bin ich erschrocken.",2009,schrecken,erschrecken,erschrocken,0
"Das Problem war bekannt, die Lösung hieß Klinsmann.",2009,kennen,bekennen,bekannt,0
Doch nicht allein diese Querköpfigkeit wäre im heutigen Forschungsbetrieb erfrischend.,2009,frischen,erfrischen,erfrischend,0
"Seit sie 1993 in dem Actionfilm Speed in einen Linienbus stürmte, Kaugummi zerkauen, verspätet, genervt und leicht zerzaust, bestand der Mechanismus des Bullock-Films im Grunde darin, seiner Hauptfigur jegliche Eigenheiten auszutreiben.",2010,kauen,zerkauen,zerkauen,1
"Verstehe ich es richtig, dass wir so oder so bei komischen Leuten in der Regierung enden?",2009,enden,enden,enden,0
Erst durch das Ableben entsteht Qualität.,2009,leben,ableben,ableben,0
"Nachdem ich aber das Fragezeichen von der Tafel wegwischen hatte, packte mich die Traurigkeit doch.",2009,wischen,wegwischen,wegwischen,1
"Er ist ausgemustert worden, trägt Latzhosen und Wollpullis und malt ab sich ein Landhippieleben auf dem Bauernhof aus, doch die Zentralstelle für die Vergabe von Studienplätzen hat ihn nach Berlin vermittelt: Erziehungswissenschaften, Schwerpunkt Sozialpädagogik.",2010,malen,abmalen,malt ab,1
"Mehr als 90 Fischgründe und etwa sieben Prozent der jährlich angelandeten Erträge wurden bislang im Sinn des MSC zertifiziert, der seit 1999 unabhängig von seinen Gründern ist und vornehmlich von Spenden und Lizenzerträgen lebt.",2010,leben,lebt,lebt,0
"Am Nachmittag versammelten sich dann nach Informationen der staatlichen Medien auch Tausende Han-Chinesen, um ihrerseits gegen die Uiguren vorzugehen.",2009,sammeln,versammeln,versammelten,0
"Es gibt fantastische Angebote: Zwei Passagiere fliegen zum Preis von einem in der Business Class, unglaubliche Rabatte in der Economy Class.",2009,fliegen,fliegen,fliegen,0
"Um eine unmittelbar drohende Anklage der Bank in den USA zu vermeiden, einigte man sich auf die Zahlung von 780 Millionen Dollar (622 Millionen Euro) an die US-Justiz.",2009,meiden,vermeiden,vermeiden,0
"Seehofers Strategie ist einfach: Nur durch Absetzung von der Regierungspolitik in Berlin und durch ein eigenes Profil für seine Partei glaubt er, die CSU aus ihrer derzeitigen Krise führen zu können.",2009,fahren,führen,führen,0
"Als würde er einem seine Lebensgeschichten vor die Füße kotzen ab: Charmant kann ich sein, und ein Schwein bin ich.",2009,kotzen,abkotzen,kotzen ab,1
"Auch Rudis Worte, glaubt der Pförtner, passen oft in die Situation, das bemerken jeder, der sich ein bisschen auf ihn eingeschwungen habe.",2010,merken,bemerken,bemerken,1
"In Paris erweitert er seine humanistischen Studien, liest auf dort die reformatorischen Schriften aus Wittenberg und Zürich, ja wird immer mehr zum überdies reformorientierten Theologen.",2009,lesen,auflesen,liest auf,1
"Dieser Raum der Seele gehört der Psychiatrie, nicht der Soziologie, die aus Einzelbeispielen keine Theorie formen vor kann.",2009,formen,vorformen,formen vor,1
Zahlreiche Menschen erlitten nach der längerfristiger Einnahme des Schmerzmittels Herzinfarkte.,2009,leiden,erleiden,erlitten,0
"Aber wer bewegt sich noch stundenlang in der Stadt, um gemessenen Schrittes über die Champs-Élysées zu wandeln?",2010,wandeln,wandeln,wandeln,0
"Der Starttermin wurde indes bereits mehrfach verschoben, zuletzt auf April 2011, zu spät wurde die Telekom-Tochter T-Systems ins Boot geholt, um unter Aufsicht eines Fraunhofer-Instituts an der Software zu tüfteln.",2010,schieben,verschieben,verschoben,0
"Langfristig enteignen sich niemand aus dieser Gruppe, die Funktion einer neuen Medien-Ikone zu übernehmen.",2009,eignen,enteignen,enteignen,1
"Im Licht dieser Ernüchterung gesehen, erscheint Giacometti eben doch nur von jener Bauernschläue, mit der sich seine Landsleute so gern enttarnen.",2010,tarnen,enttarnen,enttarnen,1
"Eines der Neunmillimeterprojektile aus der Beretta von Tim K. habe eine versieben Zentimeter dicke Vollholztür durchschlagen, bevor es eine Lehrerin tötete und schließlich in einem Alufensterrahmen stecken blieb.",2009,sieben,versieben,versieben,1
"So glatt wie seine rasierte aus Gesichtshaut ist auch seine Einstellung zur Welt: keine Zweifel, kein Hadern.",2009,rasieren,ausrasieren,rasierte aus,1
Mit neun lief aus er seinen ersten Wettkampf als Langstreckler.,2010,laufen,auslaufen,lief aus,1
"Der Belag lässt sich nicht eindeutig erkennen, weil das Fleisch mit der Sauce an den Brötchenhälften klebt zu.",2009,kleben,zukleben,klebt zu,1
"Will der Westen sie nutzen, muss er das politische Tempo dramatisch erhöhen und die diplomatische Normalität durchbrechen; er muss auf kontrollierten Konflikt schalten.",2010,schelten,schalten,schalten,0
"Forscherjobs in der Industrie sind lukrativer als die in den Forschungsinstituten: So erhielt in der Industrie die Hälfte der Forscher mehr als 59.000 Euro, in den Instituten lag vor dieser Wert bei 44.200 Euro.",2010,liegen,vorliegen,lag vor,1
"Daraufhin werden die im süßlichen weißen Fruchtfleisch liegenden Bohnen herausgelöst, zum Fermentieren auf Bananenblättern ausgebreitet und zugedeckt.",2010,breiten,ausbreiten,ausgebreitet,0
Einige Italiener bieten auf die Stücke aus Mailand und Correggio.,2009,bieten,aufbieten,bieten auf,0
"Und das passiert meist dort, wo Menschen ihre Kinder nicht nachimpfen lassen.",2009,impfen,nachimpfen,nachimpfen,1
"Ein paar Gäste warten auf Sofas, aus deren Polstern der Schaumstoff quillt auf.",2010,quellen,aufquellen,quillt auf,1
"Wenn ich dann nach Hause fahre und meiner Tochter sage, die schwanger ist mit Zwillingen, du, der Ole ist tot – dann zweifle an ich.",2009,zweifeln,anzweifeln,zweifle an,1
Etwas ist jetzt neu in der Beziehung: Erik möchte sich nicht mehr rasieren ab.,2009,rasieren,abrasieren,rasieren ab,1
"Die Schiiten ziehen im Basar schwer beladene Karren hinter sich her, tief über die Straße gebeugt, keuchend und schwitzend.",2010,schwitzen,schwitzend,schwitzend,0
"Sie verschleudern kurze und lange Sätze mit Respektlosigkeit dem Genre Roman, der Spezies Mann, der scheinvirtuellen Businesswelt entgegen.",2009,schleudern,verschleudern,verschleudern,1
"Ist Konzert nicht doch Krawatte aussuchen, hinfahren, Mantel abgeben, den Sitznachbarn begrüßen, klatschen, ein bisschen aufgeregt sein und dann eintauchen, von Brahms’ ewigem Herbst umdüstert werden?",2009,klatschen,klatschen,klatschen,0
Später belehren sie an der Kunsthochschule in Berlin-Weißensee und arbeitete seit 1953 außerdem als freischaffende Künstlerin.,2009,lehren,belehren,belehren,1
Mexiko ist weiterhin am schwersten von dem Virus betroffen.,2009,treffen,betreffen,betroffen,0
"Das kleine 15.000-Einwohner-Städtchen im Südosten Kolumbiens, am Tor zum Amazonas, ist damals die Hauptstadt von Farclandia einer entmilitarisierten Zone, aus der sich der Staat zurückgezogen hatte, um mit der Guerilla Waffenstillstandsverhandlungen zu führen.",2010,militarisieren,entmilitarisieren,entmilitarisierten,0
"In den Tagen nach dem Tod des Kindes pfeift Celan vor dem Fenster von Brigitta Eisenreich in der Pariser Avenue Kléber, in der sie ein Au-pair-Mädchen-Zimmer bewohnt, ein paar Takte aus der Unvollendeten von Schubert.",2010,pfeifen,pfeift,pfeift,0
"Und ich sagte zu ihm: Ja, Herr Lüders, es tut mir leid, aber Sie müssen das wieder neu lernen.",2009,sagen,zusagen,sagte zu,0
"Du wolltest mich für ein Projekt nach H. holen, das hat nicht geklappt zu.",2010,klappen,zuklappen,geklappt zu,1
"Das ist noch kein Grund, für neue Atomkraftwerke zu werben ab; Sonne und Wind sind attraktive und in absehbarer Zukunft auch billigere Alternativen.",2010,werben,abwerben,werben ab,1
"Fette Sonderzahlungen und freche Protzerei, mitten in der Krise, haben das Ansehen der Unternehmer und Topmanager des Landes zerrüttet.",2009,fetten,einfetten,fette ein,1
"Kurz aufkochen lassen, und wenn die Spätzle oben schwimmen mit einem Schaumlöffel in ein Sieb hieven ein.",2009,hieven,einhieven,hieven ein,1
"Was den Fall Östringen für die Koch-Brüder, die so gegen den Staat verwetten, pikant macht: In den Jahren vor der Schließung hat der Betrieb immer wieder Kurzarbeit angemeldet.",2010,wetten,verwetten,verwetten,1
"Wie konnte ich irgendwann glauben, dass Liebe etwas anderes ist, als zusammen zu beatmen?",2009,atmen,beatmen,beatmen,1
"Am Ladeplatz schleppten ab halb nackte Träger Körbe und prall gefüllte Säcke auf den Schultern, in zwei geordneten Marschkolonnen entluden und beluden sie die Schiffe, dazwischen wimmelten Passagiere, die in die Boote drängten oder ihnen soeben entstiegen waren.",2010,schleppen,abschleppen,schleppten ab,1
Materialisten wie Friedrich Engels dagegen lehnten ab die Theorie aus dem gleichen Grunde ab.,2010,lehnen,ablehnen,lehnten ab,1
Vonseiten des chinesischen Automobilhändlerverbandes Cada oder den Händlern lägen ein keine Hinweise auf Unregelmäßigkeiten vor.,2010,liegen,einliegen,lägen ein,1
"Er lag am Pool, als seine Kameraden auf Teneriffa für die Europameisterschaft trainierten, und er suchte bei Ikea eine Küche, als Jürgen Spieß in Bukarest die Goldmedaille holte an.",2010,holen,anholen,holte an,1
"Als sie dort ihre krude Form der Scharia umsetzten und Bilder von öffentlichen Auspeitschungen gezeigt wurden, nachjagen ein erster Schauer der Angst durch Pakistan.",2009,jagen,nachjagen,nachjagen,1
"Sie stemmen an schwere Klötze, sie rangeln im griechisch-römischen Stil, sie prügeln mit ihren Holzschwertern auf einige Pfähle ein, die in den Boden gerammt wurden.",2010,stemmen,anstemmen,stemmen an,1
"Die Organisation entheben ihre Prognose von 1,25 auf 2,3 Prozent an.",2009,heben,entheben,entheben,1
"Ein Stockwerk tiefer etwa hängen Ölbilder, Aquarelle und Zeichnungen – sie wirken fast unscheinbar, verglichen mit den Skulpturen oben.",2009,hängen,hängen,hängen,0
"Anders als von vielen erwartet, sind Politiker wie Mussawi, Karrubi oder Chatami – allesamt einst Stützen des Regimes und Weggefährten des Staatsgründers Chomeini – bislang nicht eingeknickt, sondern haben ihre Angriffe gegen die Staatsführung noch verschärft.",2009,warten,erwarten,erwartet,0
"59 Preisträger waren in Lindau zu bestaunen, die meisten weit älter als das Treffen selbst – es fand zum 60.",2010,staunen,bestaunen,bestaunen,0
"So gesehen, spricht eine ganze Reihe von Gründen für die – vorübergehende – Verstaatlichung.",2009,sprechen,spricht,spricht,0
"So eine, wie Neil Armstrong sie einst in den Mondstaub rammte ein, als er den Planeten für die Vereinigten Staaten eroberte.",2009,rammen,einrammen,rammte ein,1
Viele Kämpfer der Irredenta stammten ab aus national ähnlich ungesicherten Verhältnissen wie er.,2009,stammen,abstammen,stammten ab,1
Dafür seien die Informationen in der BND-Zentrale in Pullach ausreichend gefiltert aus worden.,2009,filtern,ausfiltern,gefiltert aus,1
"Aber zum Glück scheinbar doch nicht so ganz, denn das Futter hatte er sich von der Terrasse geholt, und Frau Mernig meinte, er würde noch irgendwo im Gebüsch sein.",2010,holen,geholt,geholt,0
Darauf erntete er nun verbreiten Ablehnung aus den Parteien.,2009,breiten,verbreiten,verbreiten,1
"Neu und virtuos kombinierte er antike Bauelemente, seine Werke gleichen aus zu Architektur erstarrten Akkorden.",2009,gleichen,ausgleichen,gleichen aus,1
Einen kleinen roten Gummiball durch die Stadt zu schlagen hätte ihr bestimmt gefallen.,2010,schlagen,schlagen,schlagen,0
"Blitze brechen in die schwarze Nacht, die Furten füllen sich und schwellen an, dass die ersten Lkw im Schlamm versinken.",2009,blitzen,abblitzen,blitze ab,1
Am häufigsten sei billiges Wasserspielzeug aus China negativ aufgefallen.,2009,fallen,auffallen,aufgefallen,0
"Ich denke, dass die Finanzbranche einen wichtigen Beitrag dazu geleistet ab hat.",2010,leisten,ableisten,geleistet ab,1
"Der Dachdecker steckt auf den Brief in einen Umschlag, läuft hinunter durch das Treppenhaus, in dem der Geruch von Erbsensuppe und Kohlrouladen hängt.",2010,stecken,aufstecken,steckt auf,1
"Kirchenvertreter leugneten mir gegenüber trotzdem, mit der exzessiven Verlängerung der Volksmusik-Sendungen etwas zu tun zu haben.",2009,leugnen,leugneten,leugneten,0
"Wenn im Haus oder der Wohnung eines Pflegebedürftigen etwas abhanden kommt, gerät leicht auch der Pflegedienst in Verdacht, den anvertrauten Schlüssel nicht sorgfältig genug verwahrt zu haben.",2010,wahren,verwahren,verwahrt,0
"bleibt ein angenehm unromantischer Film, weil seine Helden die romantische Gefühlssemantik, die man von heute aus in sie hinein projiziert, gerade erst erfinden.",2009,finden,erfinden,erfinden,0
"44 Volksbegehren gab es im vergangenen Jahr allein auf Landesebene, listet auf der Verein Mehr Demokratie auf, so viele wie noch nie.",2009,listen,auflisten,listet auf,1
"Wenn wir den Respekt der Welt – und den Respekt vor uns selbst – verspielen möchten, wäre dies der richtige Weg.",2009,spielen,verspielen,verspielen,0
"Er rupft ab eine Kapsel von einem Zweig, schneidet hinein, fühlt den Widerstand.",2010,rupfen,abrupfen,rupft ab,1
"Die Free Church betrachtet sich als Rechtsnachfolger und letztes Aufgebot eines Calvinismus, der bis Anfang des letzten Jahrhunderts ganz Schottland und bis in die fünfziger Jahre wenigstens noch das Hochland beherrschte.",2009,herrschen,beherrschen,beherrschte,0
"Es kann nicht sein, dass ein Seismologe Daten missinterpretieren, ein Geophysiker sich nur die Gasveränderungen anschaut und der Geochemiker nur auf das Wasser schaut.",2009,interpretieren,missinterpretieren,missinterpretieren,1
"Sie müssen an diesem sengend heißen Tag nicht nur ihren Chef, Admiral Farah Ahmed Omar, sondern auch noch ausländische Journalisten bewachen.",2010,sengen,sengend,sengend,0
"Die Straßen, die für die Ölförderung angelegt wurden, lockten überdies immer mehr Siedler an.",2010,legen,anlegen,angelegt,0
"Dem hatte Luther opportunistisch die Zweitfrau gesegnet, auf dass ihm Philipp huldig bleibe.",2009,segnen,gesegnet,gesegnet,0
"Ein Zeichen, aufmerksamer und verantwortlicher gegenüber den Menschen zu behandeln anstatt angesichts des bestehenden Rückhalts selbstzufrieden zu sein.",2009,handeln,behandeln,behandeln,1
"Das führt wiederum dazu, dass mehr Kohle verstromt werden muss, um die Anlagen zu betreiben.",2009,treiben,betreiben,betreiben,0
Jüngst wehrten sich Abgeordnete gegen die Finanzlobby; nun stemmen auf sie sich gegen die Regierungen.,2010,stemmen,aufstemmen,stemmen auf,1
"Spätestens dann könnte sich die Stimmung auch wieder gegen Sozialdemokraten wegwenden, die sich ja als Jobretter präsentieren.",2009,wenden,wegwenden,wegwenden,1
"Doch Litauen suchte Anschluss an das westliche Christentum, auch aus diesem Grund bot aus sich das kleinere Polen als Verbündeter an.",2010,bieten,ausbieten,bot aus,1
"Jeder weiß so ganz grob, dass es im Inferno mehrere Kreise gibt, in denen die Sünder nach einem ausgeklügelten System gemartert werden – je weiter innen, desto schlimmer.",2010,martern,gemartert,gemartert,0
"Behr hat einen Fuß gefunden, zu dem aber der Körper empfehlen.",2009,fehlen,empfehlen,empfehlen,1
"Er lacht, zankt aus und seufzt mit ihnen.",2010,zanken,auszanken,zankt aus,1
"Erler: Was den Artikel in der Washington Times betrifft, handelt es sich offenbar um Produkte, die nicht der Ausfuhrkontrolle, die sich nach internationalen Vereinbarungen richtet zu, unterliegen.",2009,richten,zurichten,richtet zu,1
Am liebsten wäre ich sofort ins Bett gekrochen.,2009,kriechen,gekrochen,gekrochen,0
Zu Falko Huckenbeck ist gerüstet wie für eine Safari.,2009,rüsten,gerüstet,gerüstet,0
"Bilden Sie ein V, wirkt er bedrohlich.",2010,bilden,vorbilden,bilden vor,1
"Brandstetter: Ja, Kostüme wie die Tutus spielen in der Tanzwissenschaft eine große Rolle, da sie bestimmte Körperbilder vermitteln.",2010,stimmen,bestimmen,bestimmte,0
Ansonsten kann da keiner mehr ruhigen Gewissens speisen ab.,2009,speisen,abspeisen,speisen ab,1
Im Fall der Abstimmung über die Minarett-Initiative wurde die öffentliche Diskussion durch falsche Behauptungen getrübt.,2009,trüben,getrübt,getrübt,0
Wir verlernen Walser besser denn je kennen.,2010,lernen,verlernen,verlernen,1
"Niemand kann exakt vorhersagen, was für Verwerfungen sie hervorrufen würde.",2010,hersagen,vorhersagen,vorhersagen,0
"Leider raunt zu uns gerade ein Kollege aus der Wirtschaftsredaktion zu, dass die Investmentbanken schon weg seien, bevor die Linke überhaupt Gelegenheit hatte, Hand an sie zu legen.",2009,raunen,zuraunen,raunt zu,1
"Aber ich habe nie gelernt, zu inhalieren.",2009,lernen,gelernt,gelernt,0
"Zwischen dem Datum, an dem Wikileaks etwas zugespielt bekommt, und der möglichen Veröffentlichung liegen dann trotzdem manchmal Wochen, denn Wikileaks versucht durch technische und politische Kenntnisse zu prüfen, ob es sich um Originale handelt.",2010,spielen,zuspielen,zugespielt,0
"Der Bauernsohn, der kaum lesen oder schreiben kann, hatte, aus Afghanistan kommend, angeblich einen Sprengstoffanschlag auf den Bundeswehrstützpunkt in Usbekistan verplanen.",2009,planen,verplanen,verplanen,1
"Wenn man W ausschaltet, schaltet aus sich R auch aus, und danach bewegen sich die Hebel W und H in die Stellung von Hebel V. Im Moment stehen alle Hebel auf aus.",2010,schelten,ausschelten,schaltet aus,1
"Die Spannung zwischen den beiden politischen Lagern entlud sich im Mai 2008 in heftigen Straßenkämpfen und Schießereien, als Hisbollah Westbeirut im Handstreich einnahm.",2009,laden,entladen,entlud,0
"Und seine Weingläser waren so verformen, dass saure Weine zuerst auf die Stelle für Saures trafen, süße Weine aber wegen des speziellen Designs zuerst dorthin geleitet wurden, wo Süßes als besonders angenehm empfunden wird.",2010,formen,verformen,verformen,1
